url_domain,url,description
foxnews.com,https://www.foxnews.com/politics/live-updates-pence-has-power-to-block-certification-trump-says,
nbcnews.com,https://www.nbcnews.com/news/us-news/proud-boys-leader-arrested-after-allegedly-destroying-d-c-church-n1252789,"nbcnews.com Proud Boys leader arrested, accused of destroying D.C. church's Black Lives Matter sign Enrique Tarrio was arrested as the group was sued in the destruction of a Black Lives Matter sign at another D.C. church during pro-Trump protests."
senate.gov,https://www.romney.senate.gov/romney-condemns-insurrection-us-capitol,"romney.senate.gov Romney Condemns Insurrection at U.S. Capitol Following are prepared remarks by Senator Mitt Romney (R-UT), who had previously planned to address his colleagues in todays Senate session:"
foxnews.com,https://www.foxnews.com/politics/trump-condemns-heinous-attack-capitol-healing,
cnn.com,https://www.cnn.com/2021/01/06/politics/gallery/electoral-college-vote-count/index.html,"flip.it In pictures: Pro-Trump rioters breach the US Capitol on historic day in Congress In a stunning display of insurrection, supporters of President Donald Trump breached the US Capitol on Wednesday while Congress was meeting to certify the Electoral College's votes for president and vice president.The Capitol was put on lockdown and the certification vote was paused after the rioter..."
leadstories.com,https://leadstories.com/hoax-alert/2021/01/fact-check-man-wearing-horns-with-a-tattoo-storming-the-capitol-is-not-antifa-pedophile-he-is-a-qanon-trump-supporter.html,Lead Stories Fact-Check Fact Check: Tattooed Man Wearing Horns Storming The Capitol Is NOT Antifa/Pedophile -- He Is A QAnon/Trump Supporter | Lead Stories Is this man photographed storming the U.S. Capitol in fur and horns an antifa activist working to make supporters of...
nypost.com,https://nypost.com/2021/01/07/dc-police-release-photos-of-suspects-in-us-capitol-siege/,"nypost.com DC police release photos of suspects in US Capitol siege Police in Washington DC have released dozens of photos of President Trump supporters who stormed the US Capitol on Wednesday, causing widespread damage and sending the nations capital into l"
npr.org,https://www.npr.org/2021/01/07/954234902/congress-certifies-biden-victory-after-pro-trump-rioters-storm-the-capitol,npr.org Congress Certifies Biden Victory After Pro-Trump Rioters Storm The Capitol Lawmakers returned to the Capitol after hours of chaos in which protesters forced their way into the building and abruptly halted Congress' tally of Electoral College votes.
nypost.com,https://nypost.com/2021/01/06/protester-killed-in-capitol-was-air-force-vet-from-california/,"nypost.com Ashli Babbitt, protester killed at Capitol, was Air Force vet from California The President Trump supporterkilled in the Capitol building Wednesdaywas an Air Force vet from California who tweeted a day earlier how nothing will stop us and the"
newsbreak.com,https://www.newsbreak.com,"newsbreak.com Woman shot by law enforcement inside Capitol building has died, NBC News reports | News Break (KGET) A woman shot by law enforcement as Trump supporters rushed inside the Capitol building Wednesday afternoon has died, according to NBC News. BREAKING: 1 person was shot this afternoon inside the U.S. Capitol building by a member of law enforcement as Trump supporters stormed the building, ..."
npr.org,https://www.npr.org/sections/congress-electoral-college-tally-live-updates/2021/01/06/954125266/rep-omar-says-she-is-drafting-new-articles-of-impeachment-against-trump,"npr.org Rep. Omar Says She Is Drafting New Articles Of Impeachment Against Trump ""We can't allow him to remain in office, it's a matter of preserving our Republic and we need to fulfill our oath,"" wrote the Minnesota Democrat, as Trump supporters stormed the U.S. Capitol."
npr.org,https://www.npr.org/sections/congress-electoral-college-tally-live-updates/2021/01/06/954227854/video-shows-newly-elected-w-va-lawmaker-among-mob-that-stormed-the-u-s-capitol,"npr.org Video Shows Newly Elected W.Va. Lawmaker Among Mob That Stormed The U.S. Capitol West Virginia Del. Derrick Evans, sworn in last month, was seen in a since-deleted video entering the building. It is unclear whether Evans will face disciplinary action from fellow state lawmakers."
nymag.com,https://nymag.com/intelligencer/2021/01/trump-supporters-storm-u-s-capitol.html,"nymag.com U.S. Congress Under Attack, Trump Supporters Enter Capitol Building House and Senate staff are being evacuated while U.S. Capitol Police repel an apparent attack on the certification of Joe Bidens victory."
nytimes.com,https://www.nytimes.com/2021/01/06/us/politics/protesters-storm-capitol-hill-building.html,nytimes.com The storming of Capitol Hill was organized on social media.
nytimes.com,https://www.nytimes.com/2021/01/06/us/politics/lawmakers-end-republicans-effort-to-subvert-the-election-in-an-early-morning-vote.html,"nytimes.com In 93-6 vote, Senate rejects attempt to overturn Bidens election win in Arizona after mayhem at the Capitol."
pix11.com,https://www.pix11.com/news/election-2020/congress-certifies-2020-election-for-joe-biden-and-kamala-harris-after-day-of-capitol-breach-gop-objections,"pix11.com Congress certifies 2020 election for Joe Biden and Kamala Harris after day of Capitol breach, GOP objections Congress certified Electoral College votes for Joe Biden."
washingtonpost.com,https://www.washingtonpost.com/local/trump-supporters-storm-capitol-dc/2021/01/06/58afc0b8-504b-11eb-83e3-322644d82356_story.html,
yahoo.com,https://news.yahoo.com/at-georgia-rally-pence-says-america-will-hear-the-evidence-of-election-fraud-on-jan-6-193148658.html,"news.yahoo.com At Georgia rally, Pence says America will 'hear the evidence' of election fraud on Jan. 6 Vice President Mike Pence said Monday that the case for widespread election fraud would be made to the American people when Congress meets this week to certify President-elect Joe Bidens victory over President Trump."
washingtonpost.com,https://www.washingtonpost.com/dc-md-va/2021/01/06/dc-protests-trump-rally-live-updates/,washingtonpost.com Live updates: Woman dies after shooting in U.S. Capitol; D.C. National Guard activated after mob breaches building Thousands of President Trumps supporters rallied in downtown Washington on Wednesday to falsely assert the presidential election was stolen from Trump. Follow along for live updates.
theconversation.com,http://theconversation.com/delighting-in-causing-complete-chaos-whats-behind-trump-supporters-brazen-storming-of-the-capitol-152808,"theconversation.com 'Delighting in causing complete chaos': what's behind Trump supporters' brazen storming of the Capitol Trump has claimed for weeks the election is stolen. Having fired up his supporters in this way, it became much harder to control mob behaviour."
thedispatch.com,https://factcheck.thedispatch.com/p/were-antifa-supporters-among-those,The Dispatch Fact-Check Were Antifa Supporters Among Those Who Overtook the Capitol Building? Tweets from Lin Wood are misleading.
thehill.com,https://thehill.com/homenews/house/533052-congress-affirms-biden-win-after-rioters-terrorize-capitol,thehill.com Congress affirms Biden win after rioters terrorize Capitol Congress on early Thursday morning formally affirmed President-elect Joe Bidens election victory after a mob supporting President Trump violently broke into the Capitol the day before.
usatoday.com,https://www.usatoday.com/story/news/politics/elections/2021/01/06/congress-count-electoral-college-votes-biden-win/6556555002/,"usatoday.com Pence resumes electoral count, says it's a 'dark day' in history of Capitol - live updates Congressional leaders say they plan to finish their count over the next several hours rather than recess until Thursday morning."
msnbc.com,https://www.msnbc.com/rachel-maddow-show/right-s-new-conspiracy-theory-blame-left-capitol-riot-n1253250,"msnbc.com The right's new conspiracy theory: blame left for Capitol riot The cognitive dissonance is bewildering: The rioters are simultaneously patriots who did the right thing and ""masquerading"" leftists to be condemned?"
nbcnews.com,https://www.nbcnews.com/tech/social-media/facebook-youtube-twitter-remove-video-trump-amid-chaos-capitol-n1253157,nbcnews.com Twitter locks President Trump's account; removes 3 tweets
